feature,pearson_ic,spearman_ic,count
change_pct,0.9999964678966752,0.9999861071555088,60
perf_week_pct,0.5371505381695079,0.3814498876128688,60
oper_margin_pct,-0.3716807522054197,-0.3711279953243718,59
rsi_14,0.3844941960916251,0.35404278966379554,60
sma50_pct,0.3630427514962462,0.3007307789651864,60
sma20_pct,0.42633968655105764,0.28066909344242336,60
perf_month_pct,0.2690300986299655,0.27392844803853483,60
52w_high_distance_pct,0.2487588988959291,0.26035009724923597,60
sma200_pct,0.16634106723367476,0.24943732816875896,60
sales_qoq_pct,-0.23656856107747262,-0.2401262438339881,59
gross_margin_pct,-0.17918194279575228,-0.2363235675395385,57
profit_margin_pct,-0.3123566380464773,-0.21437755698421979,59
sales_yoy_ttm_pct,-0.24960360352049132,-0.19529800262170402,59
eps_qoq_pct,-0.1932520712744993,-0.18831092928112217,59
eps_next_5y_pct,-0.0859439460555884,-0.18298017771701983,56
pe,-0.16871146021184003,-0.17339432056413187,54
52w_low_distance_pct,-0.0246767394077202,0.17315921089191444,60
eps_growth_this_year_pct,0.24550354077236738,-0.1640877277750813,59
institutional_own_pct,-0.27056654163479354,-0.13249561659848044,59
institutional_trans_pct,-0.010232411948099695,-0.10286382232612508,59
peg,-0.051089672501980085,0.09998079150982589,50
insider_own_pct,0.27774567647739873,0.08577858370516085,59
52w_high_price,-0.017768149632488236,-0.0818005001389275,60
current_ratio,0.004614319860816411,0.07975334632829169,59
debt_to_equity,0.07682540155751674,0.0692979643734833,56
roe_pct,-0.16218955339541233,0.06912868047123043,57
price,-0.003240599513517928,-0.05207146630146533,60
forward_pe,0.14716888720574936,-0.050417583099615894,58
52w_low_price,-0.034556851351722505,-0.04306751875520979,60
insider_trans_pct,0.23022307892910374,0.030896671825537327,58
quick_ratio,-0.04562246309485025,-0.028817790621635447,57
lt_debt_to_equity,0.07178990035443532,0.02170680484985596,56
short_ratio,-0.11433681834255315,0.020690562142707675,59
short_float_pct,-0.15238189599258287,-0.014085947673425282,59
eps_next_year,-0.01564982114766479,-0.013296512223982546,59
roic_pct,-0.12047151915400603,0.000701354490935343,59
