Ticker,SEC Form 4 Link,Owner,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4
SCLX,http://www.sec.gov/Archives/edgar/data/1820190/000119312525218151/xslF345X05/ownership.xml,Scilex Holding Co,10% Owner,2025-09-23,Sale,16.0,11945151.0,191122416.0,181804849.0,Sep 25 07:49 PM
CRWV,http://www.sec.gov/Archives/edgar/data/1352851/000110465925092238/xslF345X05/tm2526663-3_4seq1.xml,Magnetar Financial LLC,10% Owner,2025-09-19,Sale,125.6,1451063.0,182251141.0,363631.0,Sep 22 08:18 PM
CRWV,http://www.sec.gov/Archives/edgar/data/1352851/000110465925093991/xslF345X05/tm2527098-1_4seq1.xml,Magnetar Financial LLC,10% Owner,2025-09-25,Sale,136.38,1113847.0,151907029.0,356070.0,Sep 26 08:06 PM
CRWV,http://www.sec.gov/Archives/edgar/data/1352851/000110465925092240/xslF345X05/tm2526663-4_4seq1.xml,Magnetar Financial LLC,10% Owner,2025-09-19,Sale,125.6,1151054.0,144567443.0,1712640.0,Sep 22 08:19 PM
CRWV,http://www.sec.gov/Archives/edgar/data/1352851/000110465925092234/xslF345X05/tm2526663-1_4seq1.xml,Magnetar Financial LLC,10% Owner,2025-09-18,Sale,120.62,1059358.0,127780725.0,374056.0,Sep 22 08:13 PM
SWX,http://www.sec.gov/Archives/edgar/data/921669/000153949725002520/xslF345X05/ownership.xml,ICAHN CARL C,10% Owner,2025-09-25,Sale,77.91,1500000.0,116865000.0,6032604.0,Sep 26 05:00 PM
CRWV,http://www.sec.gov/Archives/edgar/data/1352851/000110465925092253/xslF345X05/tm2526663-6_4seq1.xml,Magnetar Financial LLC,10% Owner,2025-09-22,Sale,132.42,734110.0,97213538.0,360900.0,Sep 22 09:18 PM
BX,http://www.sec.gov/Archives/edgar/data/1070844/000121390025090224/xslF345X05/ownership.xml,Blackstone Private Multi-Asset,10% Owner,2025-09-22,Buy,25.61,2538071.0,65000000.0,7506209.0,Sep 22 05:56 PM
BETR,http://www.sec.gov/Archives/edgar/data/1013026/000090514825003404/xslF345X05/form4.xml,"PBRA, LLC",10% Owner,2025-09-22,Sale,50.31,995660.0,50088432.0,0.0,Sep 24 06:55 PM
CIFR,http://www.sec.gov/Archives/edgar/data/1819989/000112329225000469/xslF345X05/form4.xml,V3 Holding Ltd,10% Owner,2025-09-25,Sale,12.36,3504540.0,43330069.0,71437719.0,Sep 25 06:07 PM
MNPR,http://www.sec.gov/Archives/edgar/data/1035909/000143774925029925/xslF345X05/rdgdoc.xml,Tactic Pharma LLC,10% Owner,2025-09-24,Sale,63.61,550229.0,34999957.0,272026.0,Sep 26 03:53 PM
NTSK,http://www.sec.gov/Archives/edgar/data/1688143/000110465925092250/xslF345X05/tm2526612-5_4seq1.xml,"ICONIQ Strategic Partners VI, ",10% Owner,2025-09-19,Buy,19.0,1404222.0,26680218.0,11238175.0,Sep 22 08:31 PM
NTSK,http://www.sec.gov/Archives/edgar/data/1619682/000110465925092249/xslF345X05/tm2526612-10_4seq1.xml,"ICONIQ Strategic Partners VI, ",10% Owner,2025-09-19,Buy,19.0,1404222.0,26680218.0,11238175.0,Sep 22 08:29 PM
CRWV,http://www.sec.gov/Archives/edgar/data/1352851/000110465925093993/xslF345X05/tm2527098-2_4seq1.xml,Magnetar Financial LLC,10% Owner,2025-09-25,Sale,136.38,185627.0,25315999.0,1039327.0,Sep 26 08:08 PM
CRWV,http://www.sec.gov/Archives/edgar/data/1352851/000110465925092243/xslF345X05/tm2526663-5_4seq1.xml,Magnetar Financial LLC,10% Owner,2025-09-19,Sale,125.6,197336.0,24784570.0,1064159.0,Sep 22 08:21 PM
CRWV,http://www.sec.gov/Archives/edgar/data/1352851/000110465925092236/xslF345X05/tm2526663-2_4seq1.xml,Magnetar Financial LLC,10% Owner,2025-09-18,Sale,120.62,176512.0,21290912.0,1098337.0,Sep 22 08:16 PM
MTSI,http://www.sec.gov/Archives/edgar/data/1252243/000090445425000448/xslF345X05/ownership.xml,OCAMPO SUSAN,10% Owner,2025-09-18,Sale,133.09,150000.0,19963500.0,3372186.0,Sep 22 04:48 PM
LLY,http://www.sec.gov/Archives/edgar/data/59478/000031601125000009/xslF345X05/form4-09222025_040901.xml,LILLY ENDOWMENT INC,10% Owner,2025-09-19,Sale,763.1,23665.0,18058643.0,95606687.0,Sep 22 04:00 PM
WDAY,http://www.sec.gov/Archives/edgar/data/938071/000195004725007443/xsl144X01/primary_doc.xml,THE DAVID A DUFFIELD TRUST U/T,10% Owner,2025-09-23,Proposed Sale,242.66,72118.0,17500154.0,,Sep 23 04:21 PM
WDAY,http://www.sec.gov/Archives/edgar/data/938071/000093807125000009/xslF345X05/wk-form4_1758831337.xml,DUFFIELD DAVID A,10% Owner,2025-09-23,Sale,241.57,72118.0,17421401.0,102997.0,Sep 25 04:15 PM
