ticker,snapshot_utc,sector,industry,country,price,change_pct,pe,forward_pe,peg,eps_growth_this_year_pct,eps_next_year,eps_next_5y_pct,sales_yoy_ttm_pct,eps_qoq_pct,sales_qoq_pct,roe_pct,roic_pct,gross_margin_pct,oper_margin_pct,profit_margin_pct,debt_to_equity,lt_debt_to_equity,current_ratio,quick_ratio,short_float_pct,short_ratio,insider_own_pct,insider_trans_pct,institutional_own_pct,institutional_trans_pct,perf_week_pct,perf_month_pct,sma20_pct,sma50_pct,sma200_pct,rsi_14,52w_high_price,52w_high_distance_pct,52w_low_price,52w_low_distance_pct
HII,2025-09-27T23:05:07.727102+00:00,Industrials,Aerospace & Defense,USA,278.77,2.77,20.88,16.38,1.73,6.56,17.02,12.1,-1.75,-11.91,3.53,11.59,6.74,12.38,3.97,4.54,0.6,0.6,1.08,1.0,3.46,2.92,0.89,-1.95,97.27,1.47,1.32,0.86,2.14,3.65,24.49,60.32,293.14,-4.9,158.88,75.46
IEX,2025-09-27T23:05:07.727102+00:00,Industrials,Specialty Industrial Machinery,USA,161.35,1.3,26.04,18.62,4.38,-0.01,8.67,5.95,4.73,-6.38,7.21,12.25,8.01,43.4,20.87,14.05,0.47,0.46,3.05,2.13,2.76,2.71,0.22,1.38,104.54,2.78,0.2,-2.85,-0.32,-2.84,-12.55,46.95,238.22,-32.27,153.36,5.21
IDXX,2025-09-27T23:05:07.727102+00:00,Healthcare,Diagnostics & Research,USA,632.22,2.27,52.62,44.67,3.6,18.17,14.15,14.62,6.68,48.9,10.55,64.87,48.88,61.52,31.07,24.41,0.85,0.38,1.06,0.74,2.68,3.8,1.08,-6.53,94.8,-0.28,-3.65,-1.35,-1.59,1.49,26.38,48.33,688.12,-8.12,356.14,77.52
INFO,2025-09-27T23:05:07.727102+00:00,Financial,Exchange Traded Fund,USA,23.7,0.56,,,,,,,,,,,,,,,,,,,,,,,,,-0.42,2.79,1.19,3.33,12.15,64.19,23.9,-0.84,17.15,38.19
ITW,2025-09-27T23:05:07.727102+00:00,Industrials,Specialty Industrial Machinery,USA,261.04,1.22,22.91,23.29,33.69,-11.03,11.21,0.68,-1.4,1.38,0.65,109.06,30.86,43.15,25.98,21.31,2.78,2.4,1.59,1.15,2.21,6.83,0.35,-0.58,84.07,-0.23,-0.31,-2.17,-0.66,-0.07,2.82,48.27,279.13,-6.48,214.66,21.61
ILMN,2025-09-27T23:05:07.727102+00:00,Healthcare,Diagnostics & Research,USA,91.69,-0.54,11.61,19.03,1.17,8.44,4.82,9.89,-3.32,111.97,-4.95,68.11,29.41,67.14,27.0,29.38,1.15,0.89,1.81,1.41,4.91,3.88,2.79,0.43,102.25,-0.44,-10.76,-7.89,-6.68,-7.89,-7.94,37.02,156.66,-41.47,68.7,33.46
INCY,2025-09-27T23:05:07.727102+00:00,Healthcare,Biotechnology,USA,82.7,1.27,18.8,11.74,0.19,448.4,7.05,98.15,18.87,200.0,16.46,24.3,20.72,91.43,21.69,18.99,0.01,0.01,2.85,2.78,4.51,4.85,1.2,-2.2,102.36,3.97,-4.43,-2.52,-2.68,1.7,17.16,46.4,87.99,-6.01,53.56,54.41
IR,2025-09-27T23:05:07.727102+00:00,Industrials,Specialty Industrial Machinery,USA,82.3,2.24,64.26,22.19,9.15,2.84,3.71,7.02,4.67,-163.4,4.58,5.21,3.51,38.67,19.74,7.1,0.48,0.47,2.29,1.63,3.37,4.09,0.21,-6.04,102.82,1.59,0.85,2.06,2.83,2.0,-1.58,56.83,106.03,-22.38,65.61,25.44
INTC,2025-09-27T23:05:07.727102+00:00,Technology,Semiconductors,USA,35.5,4.44,,51.39,,200.65,0.69,,-3.72,-77.02,0.2,-19.24,-14.45,29.76,-8.29,-38.64,0.52,0.45,1.24,0.92,2.43,0.92,10.39,0.0,62.61,3.63,20.01,42.86,31.98,47.02,61.26,80.57,34.25,3.65,17.67,100.96
ICE,2025-09-27T23:05:07.727102+00:00,Financial,Financial Data & Stock Exchanges,USA,167.73,0.27,32.2,21.82,2.65,14.55,7.69,12.14,11.44,34.66,12.79,10.89,6.49,69.67,41.12,25.74,0.69,0.63,1.01,1.01,1.18,2.47,0.7,-11.21,92.91,0.23,-1.2,-5.4,-2.58,-5.97,-1.4,30.18,189.35,-11.42,142.29,17.88
